threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.246,34,0.1059,0.9346,0.924,0.9134
0.2465,34,0.1059,0.9346,0.924,0.9134
0.247,34,0.1059,0.9346,0.924,0.9134
0.2475,34,0.1059,0.9346,0.924,0.9134
0.248,34,0.1059,0.9346,0.924,0.9134
0.2485,34,0.1059,0.9346,0.924,0.9134
0.249,33,0.1028,0.9346,0.9243,0.914
0.2495,33,0.1028,0.9346,0.9243,0.914
0.25,33,0.1028,0.9346,0.9243,0.914
0.2505,33,0.1028,0.9346,0.9243,0.914
0.251,32,0.0997,0.9346,0.9246,0.9146
0.2515,32,0.0997,0.9346,0.9246,0.9146
0.252,31,0.0966,0.9346,0.9249,0.9153
0.2525,31,0.0966,0.9346,0.9249,0.9153
0.253,31,0.0966,0.9346,0.9249,0.9153
0.2535,31,0.0966,0.9346,0.9249,0.9153
0.254,31,0.0966,0.9346,0.9249,0.9153
0.2545,31,0.0966,0.9346,0.9249,0.9153
0.255,31,0.0966,0.9346,0.9249,0.9153
0.2555,31,0.0966,0.9346,0.9249,0.9153
0.256,31,0.0966,0.9346,0.9249,0.9153
0.2565,31,0.0966,0.9346,0.9249,0.9153
0.257,31,0.0966,0.9346,0.9249,0.9153
0.2575,31,0.0966,0.9346,0.9249,0.9153
0.258,31,0.0966,0.9346,0.9249,0.9153
0.2585,31,0.0966,0.9346,0.9249,0.9153
0.259,31,0.0966,0.9346,0.9249,0.9153
0.2595,31,0.0966,0.9346,0.9249,0.9153
0.26,31,0.0966,0.9346,0.9249,0.9153
0.2605,30,0.0935,0.9315,0.9221,0.9128
0.261,30,0.0935,0.9315,0.9221,0.9128
