threshold,pending_count,pending_ratio,exact_match_acc_human_100%,exact_match_acc_human_90%,exact_match_acc_human_80%
0.737,7,0.0218,0.9128,0.9106,0.9084
0.7375,8,0.0249,0.9159,0.9134,0.9109
0.738,8,0.0249,0.9159,0.9134,0.9109
0.7385,8,0.0249,0.9159,0.9134,0.9109
0.739,8,0.0249,0.9159,0.9134,0.9109
0.7395,8,0.0249,0.9159,0.9134,0.9109
0.74,8,0.0249,0.9159,0.9134,0.9109
0.7405,8,0.0249,0.9159,0.9134,0.9109
0.741,8,0.0249,0.9159,0.9134,0.9109
0.7415,8,0.0249,0.9159,0.9134,0.9109
0.742,8,0.0249,0.9159,0.9134,0.9109
0.7425,8,0.0249,0.9159,0.9134,0.9109
0.743,8,0.0249,0.9159,0.9134,0.9109
0.7435,8,0.0249,0.9159,0.9134,0.9109
0.744,8,0.0249,0.9159,0.9134,0.9109
0.7445,8,0.0249,0.9159,0.9134,0.9109
0.745,8,0.0249,0.9159,0.9134,0.9109
0.7455,8,0.0249,0.9159,0.9134,0.9109
0.746,8,0.0249,0.9159,0.9134,0.9109
0.7465,8,0.0249,0.9159,0.9134,0.9109
0.747,8,0.0249,0.9159,0.9134,0.9109
0.7475,8,0.0249,0.9159,0.9134,0.9109
0.748,8,0.0249,0.9159,0.9134,0.9109
0.7485,8,0.0249,0.9159,0.9134,0.9109
0.749,8,0.0249,0.9159,0.9134,0.9109
0.7495,8,0.0249,0.9159,0.9134,0.9109
0.75,8,0.0249,0.9159,0.9134,0.9109
0.7505,8,0.0249,0.9159,0.9134,0.9109
0.751,8,0.0249,0.9159,0.9134,0.9109
0.7515,8,0.0249,0.9159,0.9134,0.9109
0.752,8,0.0249,0.9159,0.9134,0.9109
0.7525,8,0.0249,0.9159,0.9134,0.9109
0.753,8,0.0249,0.9159,0.9134,0.9109
0.7535,8,0.0249,0.9159,0.9134,0.9109
0.754,8,0.0249,0.9159,0.9134,0.9109
0.7545,8,0.0249,0.9159,0.9134,0.9109
0.755,8,0.0249,0.9159,0.9134,0.9109
0.7555,8,0.0249,0.9159,0.9134,0.9109
0.756,8,0.0249,0.9159,0.9134,0.9109
0.7565,8,0.0249,0.9159,0.9134,0.9109
0.757,8,0.0249,0.9159,0.9134,0.9109
0.7575,8,0.0249,0.9159,0.9134,0.9109
0.758,8,0.0249,0.9159,0.9134,0.9109
0.7585,8,0.0249,0.9159,0.9134,0.9109
0.759,8,0.0249,0.9159,0.9134,0.9109
0.7595,8,0.0249,0.9159,0.9134,0.9109
0.76,8,0.0249,0.9159,0.9134,0.9109
0.7605,8,0.0249,0.9159,0.9134,0.9109
0.761,8,0.0249,0.9159,0.9134,0.9109
0.7615,8,0.0249,0.9159,0.9134,0.9109
0.762,8,0.0249,0.9159,0.9134,0.9109
0.7625,9,0.028,0.919,0.9162,0.9134
0.763,10,0.0312,0.919,0.9159,0.9128
0.7635,10,0.0312,0.919,0.9159,0.9128
0.764,10,0.0312,0.919,0.9159,0.9128
0.7645,10,0.0312,0.919,0.9159,0.9128
0.765,10,0.0312,0.919,0.9159,0.9128
0.7655,10,0.0312,0.919,0.9159,0.9128
0.766,10,0.0312,0.919,0.9159,0.9128
0.7665,10,0.0312,0.919,0.9159,0.9128
0.767,10,0.0312,0.919,0.9159,0.9128
0.7675,10,0.0312,0.919,0.9159,0.9128
0.768,10,0.0312,0.919,0.9159,0.9128
0.7685,10,0.0312,0.919,0.9159,0.9128
0.769,10,0.0312,0.919,0.9159,0.9128
0.7695,10,0.0312,0.919,0.9159,0.9128
0.77,10,0.0312,0.919,0.9159,0.9128
0.7705,10,0.0312,0.919,0.9159,0.9128
0.771,11,0.0343,0.9221,0.9187,0.9153
0.7715,11,0.0343,0.9221,0.9187,0.9153
0.772,11,0.0343,0.9221,0.9187,0.9153
0.7725,11,0.0343,0.9221,0.9187,0.9153
0.773,11,0.0343,0.9221,0.9187,0.9153
0.7735,11,0.0343,0.9221,0.9187,0.9153
0.774,11,0.0343,0.9221,0.9187,0.9153
0.7745,11,0.0343,0.9221,0.9187,0.9153
0.775,12,0.0374,0.9221,0.9184,0.9146
0.7755,12,0.0374,0.9221,0.9184,0.9146
0.776,12,0.0374,0.9221,0.9184,0.9146
0.7765,12,0.0374,0.9221,0.9184,0.9146
0.777,12,0.0374,0.9221,0.9184,0.9146
0.7775,12,0.0374,0.9221,0.9184,0.9146
0.778,12,0.0374,0.9221,0.9184,0.9146
0.7785,12,0.0374,0.9221,0.9184,0.9146
0.779,12,0.0374,0.9221,0.9184,0.9146
0.7795,12,0.0374,0.9221,0.9184,0.9146
0.78,12,0.0374,0.9221,0.9184,0.9146
0.7805,12,0.0374,0.9221,0.9184,0.9146
0.781,12,0.0374,0.9221,0.9184,0.9146
0.7815,12,0.0374,0.9221,0.9184,0.9146
0.782,12,0.0374,0.9221,0.9184,0.9146
0.7825,12,0.0374,0.9221,0.9184,0.9146
0.783,12,0.0374,0.9221,0.9184,0.9146
0.7835,12,0.0374,0.9221,0.9184,0.9146
0.784,12,0.0374,0.9221,0.9184,0.9146
0.7845,12,0.0374,0.9221,0.9184,0.9146
